sample	HiFi	fq1	fq2	Ref	ragtag
FCM031	/data3/u0176926/PacBio_December15/hifireads-renamed/FCM031.hifi.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM031_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM031_R2.fastq.gz	/data1/u0176926/Refs/FCM031-C-intermedia/GCA_900106115.1_CBS_141442_assembly_genomic.fna.gz	Y
FCM033	/data3/u0176926/PacBio_December15/hifireads-renamed/FCM033.hifi.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM033_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM033_R2.fastq.gz	/data1/u0176926/Refs/FCM033-C-metapsilosis/GCF_017655625.1_BP57_genomic.fna.gz	Y
FCM037	/data3/u0176926/PacBio_December15/hifireads-renamed/FCM037.hifi.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM037_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM037_R2.fastq.gz	/data1/u0176926/Refs/FCM037_K-ohmeri/GCA_004919595.1_Kodohm_148_genomic.fna.gz	Y
FCM041	/data3/u0176926/PacBio_December15/hifireads-renamed/FCM041.hifi.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM041_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM041_R2.fastq.gz	/data1/u0176926/Refs/FCM041_M-guilliermondii/GCF_000149425.1_ASM14942v1_genomic.fna.gz	Y
FCM048	/data3/u0176926/PacBio_December15/hifireads-renamed/FCM048.hifi.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM048_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM048_R2.fastq.gz	/data1/u0176926/Refs/FCM048_C-lusitaniae/GCA_014636115.1_ASM1463611v1_genomic.fna.gz	Y
FCM049	/data3/u0176926/PacBio_December15/hifireads-renamed/FCM049.hifi.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM049_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM049_R2.fastq.gz	/data1/u0176926/Refs/FCM049_D-rugosa/GCF_008704595.1_ASM870459v1_genomic.fna.gz	Y
FCM050	/data3/u0176926/PacBio_December15/hifireads-renamed/FCM050.hifi.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM050_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM050_R2.fastq.gz	/data1/u0176926/Refs/FCM052_S-paradoxus/GCF_002079055.1_ASM207905v1_genomic.fna.gz	Y
FCM051	/data3/u0176926/PacBio_December15/hifireads-renamed/FCM051.hifi.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM051_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM051_R2.fastq.gz	/data1/u0176926/Refs/FCM051_S-eubayanus/GCF_001298625.1_SEUB3.0_genomic.fna.gz	Y
FCM053	/data3/u0176926/PacBio_December15/hifireads-renamed/FCM053.hifi.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM053_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM053_R2.fastq.gz	/data1/u0176926/Refs/FCM053_S-mikatae/GCF_947241705.1_Smik-IFO1815_genomic.fna.gz	Y
FCM056	/data3/u0176926/PacBio_December15/hifireads-renamed/FCM056.hifi.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM056_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM056_R2.fastq.gz	/data1/u0176926/Refs/FCM056_L-thermotolerans/GCF_000142805.1_ASM14280v1_genomic.fna.gz	Y
FCM058	/data3/u0176926/PacBio_December15/hifireads-renamed/FCM058.hifi.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM058_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM058_R2.fastq.gz	/data1/u0176926/Refs/FCM058_W-anomalus/GCF_001661255.1_Wican1_genomic.fna.gz	Y
FCM059	/data3/u0176926/PacBio_December15/hifireads-renamed/FCM059.hifi.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM059_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM059_R2.fastq.gz	/data1/u0176926/Refs/FCM059_W-ciferii/GCF_000313485.1_ASM31348v1_genomic.fna.gz	Y
FCM060	/data3/u0176926/PacBio_December15/hifireads-renamed/FCM060.hifi.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM060_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM060_R2.fastq.gz	/data1/u0176926/Refs/FCM060_C-albicans/GCF_000182965.3_ASM18296v3_genomic.fna.gz	Y
FCM061	/data3/u0176926/PacBio_December15/hifireads-renamed/FCM061.hifi.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM061_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM061_R2.fastq.gz	/data1/u0176926/Refs/FCM061_D-hansenii/GCA_000006445.2_ASM644v2_genomic.fna.gz	Y
FCM062	/data3/u0176926/PacBio_December15/hifireads-renamed/FCM062.hifi.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM062_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM062_R2.fastq.gz	/data1/u0176926/Refs/FCM062_S-stipitis/GCF_000209165.1_ASM20916v1_genomic.fna.gz	Y
FCM063	/data3/u0176926/PacBio_December15/hifireads-renamed/FCM063.hifi.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM063_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM063_R2.fastq.gz	/data1/u0176926/Refs/FCM063_Y-lipolytica/GCF_001761485.1_ASM176148v1_genomic.fna.gz	Y
FCM064	/data3/u0176926/PacBio_December15/hifireads-renamed/FCM064.hifi.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM064_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM064_R2.fastq.gz	/data1/u0176926/Refs/FCM064_T-quercuum/GCA_946403475.1_Wolfe_Tque_UCD657_genomic.fna.gz	Y
FCM065	/data3/u0176926/PacBio_December15/hifireads-renamed/FCM065.hifi.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM065_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM065_R2.fastq.gz	/data1/u0176926/Refs/FCM065_S-pombe/GCA_000002945.3_ASM294v3_genomic.fna.gz	Y
FCM066	/data3/u0176926/PacBio_December15/hifireads-renamed/FCM066.hifi.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM066_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM066_R2.fastq.gz	/data1/u0176926/Refs/FCM066_S-pastorianus/GCA_011022315.1_ASM1102231v1_genomic.fna.gz	Y
FCM068	/data3/u0176926/PacBio_December15/hifireads-renamed/FCM068.hifi.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM068_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM068_R2.fastq.gz	/data1/u0176926/Refs/FCM068_S-cerevisiae/GCF_000146045.2_R64_genomic.fna.gz	Y
FCM069	/data3/u0176926/PacBio_December15/hifireads-renamed/FCM069.hifi.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM069_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM069_R2.fastq.gz	/data1/u0176926/Refs/FCM068_S-cerevisiae/GCF_000146045.2_R64_genomic.fna.gz	Y
FCM070	/data3/u0176926/PacBio_December15/hifireads-renamed/FCM070.hifi.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM070_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM070_R2.fastq.gz	/data1/u0176926/Refs/FCM068_S-cerevisiae/GCF_000146045.2_R64_genomic.fna.gz	Y
FCM071	/data3/u0176926/PacBio_December15/hifireads-renamed/FCM071.hifi.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM071_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM071_R2.fastq.gz	/data1/u0176926/Refs/FCM068_S-cerevisiae/GCF_000146045.2_R64_genomic.fna.gz	Y
FCM135	/data3/u0176926/PacBio_December15/hifireads-renamed/FCM135.hifi.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM135_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM135_R2.fastq.gz	/data1/u0176926/Refs/FCM060_C-albicans/GCF_000182965.3_ASM18296v3_genomic.fna.gz	Y
FIL008	/data3/u0176926/PacBio_December15/hifireads-renamed/FIL008.hifi.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL008_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL008_R2.fastq.gz	/data1/u0176926/Refs/FIL08_B-cinerea/GCF_000143535.2_ASM14353v4_genomic.fna.gz	Y
FIL012	/data3/u0176926/PacBio_December15/hifireads-renamed/FIL012.hifi.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL012_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL012_R2.fastq.gz	/data1/u0176926/Refs/FIL10_N-crassa/GCF_000182925.2_NC12_genomic.fna.gz	Y
FIL016	/data3/u0176926/PacBio_December15/hifireads-renamed/FIL016.hifi.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL016_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL016_R2.fastq.gz	/data1/u0176926/Refs/FIL16_P-griseofulvum/GCF_001561935.1_ASM156193v1_genomic.fna.gz	Y
FIL018	/data3/u0176926/PacBio_December15/hifireads-renamed/FIL018.hifi.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL018_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL018_R2.fastq.gz	/data1/u0176926/Refs/FIL18_S-macrospora/GCF_033870435.1_ASM3387043v1_genomic.fna.gz	Y
FIL019	/data3/u0176926/PacBio_December15/hifireads-renamed/FIL019.hifi.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL019_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL019_R2.fastq.gz	/data1/u0176926/Refs/FIL19_T-atrobrunneum/GCA_003439915.1_ASM343991v1_genomic.fna.gz	Y
FIL021	/data3/u0176926/PacBio_December15/hifireads-renamed/FIL021.hifi.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL021_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL021_R2.fastq.gz	/data1/u0176926/Refs/FIL21_T-capillare/Tricap1_AssemblyScaffolds.fasta.gz	Y
FIL022	/data3/u0176926/PacBio_December15/hifireads-renamed/FIL022.hifi.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL022_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL022_R2.fastq.gz	/data1/u0176926/Refs/FIL22_T-hamatum/GCA_046629995.1_ASM4662999v1_genomic.fna.gz	Y
FIL025	/data3/u0176926/PacBio_December15/hifireads-renamed/FIL025.hifi.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL025_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FIL025_R2.fastq.gz	/data1/u0176926/Refs/FIL25_T-velutinum/Trivel1_AssemblyScaffolds.fasta.gz	Y
FCM020	/data3/u0176926/PacBio_Oct2025/clean_fastq/FCM020.hifireads.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM020_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM020_R2.fastq.gz	/data1/u0176926/Refs/FCM020_L-nothofagi/GCA_900074755.1_LANO0_genomic.fna.gz	Y
FCM021	/data3/u0176926/PacBio_Oct2025/clean_fastq/FCM021.hifireads.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM021_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM021_R2.fastq.gz	/data1/u0176926/Refs/FCM021_T-delbrueckii/GCF_000243375.1_ASM24337v1_genomic.fna.gz	Y
FCM022	/data3/u0176926/PacBio_Oct2025/clean_fastq/FCM022.hifireads.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM022_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM022_R2.fastq.gz	/data1/u0176926/Refs/FCM022_T-globosa/GCF_014133895.1_ASM1413389v1_genomic.fna.gz	Y
FCM027	/data3/u0176926/PacBio_Oct2025/clean_fastq/FCM027.hifireads.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM027_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM027_R2.fastq.gz	/data1/u0176926/Refs/FCM027_Z-florentina/GCA_003671575.3_ASM367157v3_genomic.fna.gz	N
FCM032	/data3/u0176926/PacBio_Oct2025/clean_fastq/FCM032.hifireads.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM032_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM032_R2.fastq.gz	/data1/u0176926/Refs/FCM032_C-jaroonii/GCA_943733655.1_CLIB1444v1_genomic.fna.gz	N
FCM034	/data3/u0176926/PacBio_Oct2025/clean_fastq/FCM034.hifireads.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM034_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM034_R2.fastq.gz	/data1/u0176926/Refs/FCM034_C-sake/GCA_003243815.1_ASM324381v1_genomic.fna.gz	N
FCM036	/data3/u0176926/PacBio_Oct2025/clean_fastq/FCM036.hifireads.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM036_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM036_R2.fastq.gz	/data1/u0176926/Refs/FCM036_H-burtonii/GCF_001661395.1_Hypbu1_genomic.fna.gz	N
FCM040	/data3/u0176926/PacBio_Oct2025/clean_fastq/FCM040.hifireads.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM040_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM040_R2.fastq.gz	/data1/u0176926/Refs/FCM040_M-caribbica/GCA_000755205.1_ASM75520v1_genomic.fna.gz	N
FCM044	/data3/u0176926/PacBio_Oct2025/clean_fastq/FCM044.hifireads.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM044_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM044_R2.fastq.gz	/data1/u0176926/Refs/FCM044_P-manshurica/GCA_005406165.1_YM63_assembly1_genomic.fna.gz	N
FCM072	/data3/u0176926/PacBio_Oct2025/clean_fastq/FCM072.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM072_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM072_R2.fastq.gz	/data1/u0176926/Refs/FCM068_S-cerevisiae/GCF_000146045.2_R64_genomic.fna.gz	Y
FCM074	/data3/u0176926/PacBio_Oct2025/clean_fastq/FCM074.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM074_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM074_R2.fastq.gz	/data1/u0176926/Refs/FCM068_S-cerevisiae/GCF_000146045.2_R64_genomic.fna.gz	Y
FCM075	/data3/u0176926/PacBio_Oct2025/clean_fastq/FCM075.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM075_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM075_R2.fastq.gz	/data1/u0176926/Refs/FCM068_S-cerevisiae/GCF_000146045.2_R64_genomic.fna.gz	Y
FCM076	/data3/u0176926/PacBio_Oct2025/clean_fastq/FCM076.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM076_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM076_R2.fastq.gz	/data1/u0176926/Refs/FCM068_S-cerevisiae/GCF_000146045.2_R64_genomic.fna.gz	Y
FCM077	/data3/u0176926/PacBio_Oct2025/clean_fastq/FCM077.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM077_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM077_R2.fastq.gz	/data1/u0176926/Refs/FCM068_S-cerevisiae/GCF_000146045.2_R64_genomic.fna.gz	Y
FCM079	/data3/u0176926/PacBio_Oct2025/clean_fastq/FCM079.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM079_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM079_R2.fastq.gz	/data1/u0176926/Refs/FCM068_S-cerevisiae/GCF_000146045.2_R64_genomic.fna.gz	Y
FCM080	/data3/u0176926/PacBio_Oct2025/clean_fastq/FCM080.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM080_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM080_R2.fastq.gz	/data1/u0176926/Refs/FCM068_S-cerevisiae/GCF_000146045.2_R64_genomic.fna.gz	Y
FCM081	/data3/u0176926/PacBio_Oct2025/clean_fastq/FCM081.hifireads.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM081_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM081_R2.fastq.gz	/data1/u0176926/Refs/FCM068_S-cerevisiae/GCF_000146045.2_R64_genomic.fna.gz	Y
FCM082	/data3/u0176926/PacBio_Oct2025/clean_fastq/FCM082.hifireads.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM082_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM082_R2.fastq.gz	/data1/u0176926/Refs/FCM068_S-cerevisiae/GCF_000146045.2_R64_genomic.fna.gz	Y
FCM083	/data3/u0176926/PacBio_Oct2025/clean_fastq/FCM083.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM083_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM083_R2.fastq.gz	/data1/u0176926/Refs/FCM068_S-cerevisiae/GCF_000146045.2_R64_genomic.fna.gz	Y
FCM087	/data3/u0176926/PacBio_Oct2025/clean_fastq/FCM087.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM087_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM087_R2.fastq.gz	/data1/u0176926/Refs/FCM068_S-cerevisiae/GCF_000146045.2_R64_genomic.fna.gz	Y
FCM090	/data3/u0176926/PacBio_Oct2025/clean_fastq/FCM090.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM090_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM090_R2.fastq.gz	/data1/u0176926/Refs/FCM068_S-cerevisiae/GCF_000146045.2_R64_genomic.fna.gz	Y
FCM091	/data3/u0176926/PacBio_Oct2025/clean_fastq/FCM091.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM091_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM091_R2.fastq.gz	/data1/u0176926/Refs/FCM068_S-cerevisiae/GCF_000146045.2_R64_genomic.fna.gz	Y
FCM092	/data3/u0176926/PacBio_Oct2025/clean_fastq/FCM092.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM092_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM092_R2.fastq.gz	/data1/u0176926/Refs/FCM068_S-cerevisiae/GCF_000146045.2_R64_genomic.fna.gz	Y
FCM094	/data3/u0176926/PacBio_Oct2025/clean_fastq/FCM094.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM094_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM094_R2.fastq.gz	/data1/u0176926/Refs/FCM068_S-cerevisiae/GCF_000146045.2_R64_genomic.fna.gz	Y
FCM096	/data3/u0176926/PacBio_Oct2025/clean_fastq/FCM096.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM096_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM096_R2.fastq.gz	/data1/u0176926/Refs/FCM068_S-cerevisiae/GCF_000146045.2_R64_genomic.fna.gz	Y
FCM101	/data3/u0176926/PacBio_Oct2025/clean_fastq/FCM101.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM101_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM101_R2.fastq.gz	/data1/u0176926/Refs/FCM068_S-cerevisiae/GCF_000146045.2_R64_genomic.fna.gz	Y
FCM116	/data3/u0176926/PacBio_Oct2025/clean_fastq/FCM116.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM116_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM116_R2.fastq.gz	/data1/u0176926/Refs/FCM116_K-marxianus/GCF_001417885.1_Kmar_1.0_genomic.fna.gz	Y
FCM117	/data3/u0176926/PacBio_Oct2025/clean_fastq/FCM117.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM117_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM117_R2.fastq.gz	/data1/u0176926/Refs/FCM116_K-marxianus/GCF_001417885.1_Kmar_1.0_genomic.fna.gz	Y
FCM120	/data3/u0176926/PacBio_Oct2025/clean_fastq/FCM120.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM120_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM120_R2.fastq.gz	/data1/u0176926/Refs/FCM068_S-cerevisiae/GCF_000146045.2_R64_genomic.fna.gz	Y
FCM121	/data3/u0176926/PacBio_Oct2025/clean_fastq/FCM121.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM121_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM121_R2.fastq.gz	/data1/u0176926/Refs/FCM068_S-cerevisiae/GCF_000146045.2_R64_genomic.fna.gz	Y
FCM122	/data3/u0176926/PacBio_Oct2025/clean_fastq/FCM122.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM122_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM122_R2.fastq.gz	/data1/u0176926/Refs/FCM063_Y-lipolytica/GCF_001761485.1_ASM176148v1_genomic.fna.gz	Y
FCM125	/data3/u0176926/PacBio_Oct2025/clean_fastq/FCM125.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM125_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM125_R2.fastq.gz	/data1/u0176926/Refs/FCM125_C-jadinii/GCF_001661405.1_Cybja1_genomic.fna.gz	N
FCM132	/data3/u0176926/PacBio_Oct2025/clean_fastq/FCM132.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM132_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM132_R2.fastq.gz	/data1/u0176926/Refs/FCM132_S-bacillaris/GCA_030020325.1_ASM3002032v1_genomic.fna	N
FCM133	/data3/u0176926/PacBio_Oct2025/clean_fastq/FCM133.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM133_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM133_R2.fastq.gz	/data1/u0176926/Refs/FCM133_C-auris/GCF_003013715.1_ASM301371v2_genomic.fna.gz	Y
FCM136	/data3/u0176926/PacBio_Oct2025/clean_fastq/FCM136.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM136_R1.fastq.gz	/data1/u0176926/illumina_assemblies/fastq/FCM136_R2.fastq.gz	/data1/u0176926/Refs/FCM068_S-cerevisiae/GCF_000146045.2_R64_genomic.fna.gz	Y
